MAC
EQR
BFAM
NUAN
LEN
CWT
INTC
RPM
ROLL
JKHY
TTEK
CACI
LMT
ECL
DXCM
ITCB
CRL
TPR
FB
CLR
TSLA
GNRC
MMSI
SHG
TFX
RLJ
ERIE
ARI
GGG
ALE
ERI
I
ALV
HOG
SID
XOM
MA
ECA
AVY
KEY
ALSN
BX
BSX
THO
SHO
EQT
SHI
FIZZ
LPX
SNH
LULU
MORN
AMED
CE
AEP
EQC
TMUS
GPS
NRG
AES
CPT
FCX
TROW
KHC
KEYS
ARW
SMG
AMT
EQM
UGP
TTWO
ST
HEP
USM
GM
MGM
BBL
MSI
ULTA
STAG
CPA
CNO
FANG
TKR
MAR
SAM
EXAS
RBS
DB
^GSPC
